undergraduate_gpa,self_reported_gpa,first_review_exp,first_review_sop,first_review_gpa,first_review_lor,second_review_exp,second_review_sop,second_review_gpa,distance_to_campus,program_length,response,academic_condition,age,90041_mi,91601_mi,92122_mi,94607_mi,last_60_90_gpa,graduate_gpa,second_review_lor,sip_score,time_to_finish_application,decision_wait_time,response_time,billing_country_United States,billing_country_blank,ethnicity_Arab/Middle Eastern,ethnicity_Asian/Pacific Islander,ethnicity_Caucasian,ethnicity_Latino/a,ethnicity_Multi-Ethnic,ethnicity_Native American,ethnicity_Unknown,ethnicity_blank,gender_Female,gender_Other,gender_blank,first_generation_Yes,first_generation_blank,campus___cleaned_Orange County Academic Center,campus___cleaned_San Diego Academic Center,campus___cleaned_University Park Campus,campus___cleaned_Virtual Academic Center,campus___cleaned_blank,residency_International,residency_Non Resident,residency_Other,residency_Permanent US Resident,residency_Temporary US Resident,residency_US Citizen,residency_blank,deposit_received_True,temperature_Cold,temperature_Hot,temperature_No Contact,temperature_Warm
3.04,3.21,4,5.0,4.0,5.0,3,4.0,4,341.8816488,4.0,1,0,40,338.7484664,331.3452342,444.17181380000005,25.35635477,2.88,3.67,3.0,0,89.0,33.0,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.05,3.21,4,4.0,4.0,5.0,3,4.0,4,89.88378296,6.0,0,0,31,92.50804655,100.17762990000001,14.11947257,434.58260480000007,2.88,3.67,3.0,0,11.0,29.0,66.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.06,3.21,5,4.0,4.0,5.0,3,4.0,4,30.97432081,6.0,0,0,43,33.73375414,41.1413158,71.87174575,375.54149160000003,2.88,3.67,3.0,0,9.0,43.0,39.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.06,3.21,5,4.0,4.0,4.0,3,4.0,4,157.10071269999997,4.0,1,0,30,151.41198169999998,146.54100469999997,254.9894304,209.5998439,2.88,3.67,3.0,0,3.0,38.0,2.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.07,3.21,1,1.0,1.0,1.0,3,4.0,4,14.788747,4.0,1,0,28,10.57240127,5.131419943,115.7627992,331.8270461,2.88,3.67,3.0,0,0.0,88.0,28.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.07,3.21,4,5.0,4.0,3.0,5,4.0,4,40.65982475,4.0,0,0,31,36.28758893,46.22719596,83.75562836,371.824551,2.88,3.67,5.0,0,5.0,39.0,13.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.08,3.21,4,5.0,4.0,5.0,3,4.0,4,348.3809227,4.0,0,0,31,344.16626329999997,337.6907548,449.5062726,69.63425503,2.88,3.67,3.0,0,85.0,35.0,40.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.08,3.21,5,4.0,4.0,4.0,3,4.0,4,3.436048361,4.0,1,0,35,11.46553487,9.740526642999999,104.553023,342.60168239999996,2.88,3.67,3.0,0,0.0,40.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.08,3.21,5,3.0,5.0,4.0,3,4.0,4,117.3721057,6.0,1,0,57,120.4705327,127.82320459999998,14.97938553,462.12881600000003,2.88,3.67,3.0,0,85.0,6.0,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.08,3.21,4,4.0,4.0,4.0,5,4.0,4,11.54626726,4.0,1,0,34,20.72670625,19.42226542,99.29442141,348.4091729,2.88,3.67,4.0,0,0.0,71.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.09,3.21,4,5.0,4.0,5.0,3,4.0,4,9.955368046,4.0,0,0,31,17.74985363,12.82557343,107.1615882,340.29789960000005,2.88,3.67,3.0,0,-12.0,83.0,14.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.1,3.21,4,4.0,4.0,4.0,4,5.0,4,110.4630315,4.0,1,0,30,114.11236090000001,121.035055,10.38026801,454.94558610000007,2.88,3.67,4.0,0,52.0,27.0,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.11,3.21,3,5.0,4.0,3.0,3,4.0,4,9.181178911,8.0,1,0,47,0.0,9.939640734,105.55357240000002,342.285209,2.88,3.67,3.0,0,0.0,56.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.13,3.21,5,5.0,4.0,4.0,3,4.0,4,100.85046949999999,8.0,1,0,41,102.0775395,110.60596809999998,22.40796227,444.09194119999995,2.88,3.67,3.0,0,8.0,63.0,11.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.13,3.21,3,5.0,4.0,5.0,3,4.0,4,29.90003752,4.0,1,0,27,35.23572021,26.10198704,124.9088003,324.3666417,2.88,3.67,3.0,0,0.0,29.0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.14,3.21,4,4.0,4.0,5.0,3,4.0,4,97.30333513,4.0,1,0,36,98.48641357,107.0345934,23.16951522,440.48770690000003,2.88,3.67,3.0,0,75.0,29.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.14,3.21,5,5.0,4.0,3.0,3,4.0,4,350.43726780000003,4.0,1,0,35,345.73015469999996,339.7370733,450.5518796,90.93195914,2.88,3.67,3.0,0,72.0,9.0,11.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.17,3.21,5,5.0,4.0,5.0,3,4.0,4,4.7847480739999995,4.0,0,0,33,6.244673296,12.35080452,100.75026940000001,346.64337689999996,2.88,3.67,3.0,0,77.0,43.0,18.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.17,3.21,4,5.0,4.0,4.0,3,4.0,4,16.39819549,4.0,1,0,27,11.63421181,21.51156051,96.36001836,352.5695113,2.88,3.67,3.0,0,0.0,56.0,13.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.18,3.21,4,5.0,4.0,5.0,3,4.0,4,27.77298958,4.0,0,0,28,32.03747109,22.47326351,125.6194945,322.7271948,2.88,3.67,3.0,0,51.0,17.0,10.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.18,3.21,5,4.0,4.0,4.0,3,4.0,4,115.3776932,4.0,1,0,30,118.4220426,125.81357620000001,13.01901549,460.1447461,2.88,3.67,3.0,0,29.0,53.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.19,3.21,4,5.0,5.0,4.0,3,4.0,4,106.87181580000001,4.0,1,0,28,110.56084990000001,117.4497571,8.136183801,451.33698439999995,2.88,3.67,3.0,0,13.0,54.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.19,3.21,5,4.0,4.0,4.0,3,4.0,4,14.80802114,4.0,0,0,32,8.827308536,18.76544321,99.2912897,349.499639,2.88,3.67,3.0,0,1.0,75.0,12.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.19,3.21,4,4.0,4.0,5.0,3,4.0,4,58.42010801,4.0,1,0,26,53.86904095,63.79310545,80.24982499,384.807674,2.88,3.67,3.0,0,43.0,22.0,10.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.19,3.21,5,5.0,4.0,5.0,3,4.0,4,9.834832192,4.0,1,0,35,9.253581693,0.8968282609999999,111.95637669999999,335.30396139999993,2.88,3.67,3.0,0,3.0,54.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.2,3.21,4,5.0,4.0,4.0,4,3.0,4,33.2845039,4.0,1,0,29,33.63315534,42.38347376,73.07186166,375.80361860000005,2.88,3.67,5.0,0,0.0,53.0,12.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.2,3.21,5,4.0,5.0,3.0,3,4.0,4,27.10005666,6.0,1,0,56,27.54851677,36.18171688,78.57667738,369.80795489999997,2.88,3.57,3.0,0,10.0,29.0,10.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.21,3.21,3,5.0,4.0,5.0,3,4.0,4,102.3941187,4.0,0,0,29,105.55357240000002,112.8522666,0.0,447.14947390000003,2.88,3.67,3.0,0,16.0,48.0,20.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.21,3.21,5,5.0,5.0,4.0,3,4.0,4,110.7676297,6.0,1,0,40,113.4233426,121.08849599999999,10.24949348,455.4955815,2.88,3.67,3.0,0,0.0,56.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.21,3.21,3,5.0,5.0,5.0,3,4.0,4,316.4103717,4.0,1,0,27,313.94106989999995,306.04679369999997,418.7835675,28.36673446,2.88,3.67,3.0,0,0.0,55.0,3.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.22,3.21,5,5.0,4.0,5.0,3,4.0,4,64.33777067,6.0,1,0,41,64.45798427,73.45977101,48.26325747,405.891158,2.88,3.67,3.0,0,52.0,8.0,13.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.22,3.21,4,5.0,4.0,4.0,3,4.0,4,106.3957938,4.0,0,0,31,102.5318385,112.4711108,79.78736175,428.1221706,2.88,3.67,3.0,0,32.0,70.0,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
